2024-01-30-08:23:41,4384597,-9.31,0.51,1.14,-0.10,0.01,-0.07,898.20,897.98,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384597,-9.31,0.51,1.14,-0.10,0.01,-0.07,898.20,897.98,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384712,-9.31,0.52,1.14,-0.11,0.01,-0.07,897.30,897.92,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384831,-9.32,0.51,1.14,-0.10,0.01,-0.07,898.20,897.94,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384831,-9.32,0.51,1.14,-0.10,0.01,-0.07,898.20,897.94,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384954,-9.32,0.52,1.16,-0.11,0.01,-0.07,898.29,897.96,0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384954,-9.32,0.52,1.16,-0.11,0.01,-0.07,898.29,897.96,0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4385078,-9.32,0.49,1.15,-0.10,0.01,-0.07,898.02,897.96,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4385078,-9.32,0.49,1.15,-0.10,0.01,-0.07,898.02,897.96,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385195,-9.32,0.53,1.16,-0.11,0.01,-0.07,897.75,897.94,-0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385195,-9.32,0.53,1.16,-0.11,0.01,-0.07,897.75,897.94,-0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385316,-9.32,0.49,1.14,-0.11,0.01,-0.07,897.93,897.93,-0.02,-0.03,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385316,-9.32,0.49,1.14,-0.11,0.01,-0.07,897.93,897.93,-0.02,-0.03,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385446,-9.31,0.54,1.11,-0.10,0.01,-0.07,898.29,897.96,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385446,-9.31,0.54,1.11,-0.10,0.01,-0.07,898.29,897.96,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385563,-9.31,0.50,1.13,-0.11,0.01,-0.07,898.20,897.97,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385681,-9.32,0.53,1.15,-0.10,0.01,-0.07,898.11,897.98,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385681,-9.32,0.53,1.15,-0.10,0.01,-0.07,898.11,897.98,-0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385798,-9.32,0.51,1.16,-0.11,0.01,-0.07,898.38,898.01,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385798,-9.32,0.51,1.16,-0.11,0.01,-0.07,898.38,898.01,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385914,-9.32,0.50,1.16,-0.10,0.01,-0.07,898.20,898.02,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4385914,-9.32,0.50,1.16,-0.10,0.01,-0.07,898.20,898.02,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
